"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"2584","hsa-miR-6859-3p","hsa-mir-6859-1",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,1.9,0,1.78,0,0,0,2.44,0,0,0,0,0,0,0
"2585","hsa-miR-6859-5p","hsa-mir-6859-2",1.66,0,2.29,0,0,1.67,1.23,0,0,0,4.39,1.51,0,2.12,0,0,0,0,4.5,0,0,0,1.66,1.52,1.21,2.6,2.06,0,0,0,0,0,0,2.28,1.9,0,0,0,0,1.57,0,1.2,0,0,2.76,0,0,0
"2586","hsa-miR-6859-3p","hsa-mir-6859-2",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,1.9,0,1.78,0,0,0,2.44,0,0,0,0,0,0,0
"2587","hsa-miR-6859-5p","hsa-mir-6859-3",1.66,0,2.29,0,0,1.67,1.23,0,0,0,4.39,1.51,0,2.12,0,0,0,0,4.5,0,0,0,1.66,1.52,1.21,2.6,2.06,0,0,0,0,0,0,2.28,1.9,0,0,0,0,1.57,0,1.2,0,0,2.76,0,0,0
"2588","hsa-miR-6859-3p","hsa-mir-6859-3",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,1.9,0,1.78,0,0,0,2.44,0,0,0,0,0,0,0
"2589","hsa-miR-6859-5p","hsa-mir-6859-4",1.66,0,2.29,0,0,1.67,1.23,0,0,0,4.39,1.51,0,2.12,0,0,0,0,4.5,0,0,0,1.66,1.52,1.21,2.6,2.06,0,0,0,0,0,0,2.28,1.9,0,0,0,0,1.57,0,1.2,0,0,2.76,0,0,0
"2590","hsa-miR-6859-3p","hsa-mir-6859-4",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,1.9,0,1.78,0,0,0,2.44,0,0,0,0,0,0,0
"2591","hsa-miR-6860","hsa-mir-6860",0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
"2592","hsa-miR-6861-5p","hsa-mir-6861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2593","hsa-miR-6861-3p","hsa-mir-6861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2594","hsa-miR-6862-5p","hsa-mir-6862-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2595","hsa-miR-6862-3p","hsa-mir-6862-1",0,2.04,0,0,1.08,0,1.23,0,1.33,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,1.52,0,0,0,0,0,1.33,0,0,0,2.28,0,0,1.78,0,0,0,0,1.2,0,2.66,0,0,0,2.26
"2596","hsa-miR-6862-5p","hsa-mir-6862-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2597","hsa-miR-6862-3p","hsa-mir-6862-2",0,2.04,0,0,1.08,0,1.23,0,1.33,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,1.52,0,0,0,0,0,1.33,0,0,0,2.28,0,0,1.78,0,0,0,0,1.2,0,2.66,0,0,0,2.26
"2598","hsa-miR-6863","hsa-mir-6863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2599","hsa-miR-6864-5p","hsa-mir-6864",3.32,0,3.43,1.3,0,0,1.23,0,2.65,0,4.39,0,2.96,0,3,0,0,0,3,0,0,1.41,3.32,0,0,1.3,0,1.62,1.46,0,1.59,1.94,0,0,3.81,0,0,1.56,2.68,1.57,0,0,0,0,1.38,0,0,6.79
"2600","hsa-miR-6864-3p","hsa-mir-6864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2601","hsa-miR-6865-5p","hsa-mir-6865",0,0,0,0,0,0,1.23,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,2.66,0,0,0,0
"2602","hsa-miR-6865-3p","hsa-mir-6865",0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,1.59,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
"2603","hsa-miR-6866-5p","hsa-mir-6866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,3.15,2.44,0,0,0,0,0,0,0
"2604","hsa-miR-6866-3p","hsa-mir-6866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
"2605","hsa-miR-6867-5p","hsa-mir-6867",1.66,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0
"2606","hsa-miR-6867-3p","hsa-mir-6867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2607","hsa-miR-6868-5p","hsa-mir-6868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2608","hsa-miR-6868-3p","hsa-mir-6868",11.62,0,2.29,9.07,7.59,6.67,12.27,0,17.24,17.59,13.17,13.62,0,6.36,1.5,0,0,0,9,6.13,11.06,4.22,18.27,4.55,2.42,0,12.35,0,4.39,5.33,19.05,3.89,2.99,15.99,11.42,0,12.48,0,2.68,6.3,14.63,13.18,4.48,2.66,13.79,8.91,3.85,6.79
"2609","hsa-miR-6869-5p","hsa-mir-6869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610","hsa-miR-6869-3p","hsa-mir-6869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2611","hsa-miR-6870-5p","hsa-mir-6870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2612","hsa-miR-6870-3p","hsa-mir-6870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2613","hsa-miR-6871-5p","hsa-mir-6871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2614","hsa-miR-6871-3p","hsa-mir-6871",0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
"2615","hsa-miR-6872-5p","hsa-mir-6872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2616","hsa-miR-6872-3p","hsa-mir-6872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2617","hsa-miR-6873-5p","hsa-mir-6873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2618","hsa-miR-6873-3p","hsa-mir-6873",0,0,1.14,0,1.08,0,0,0,1.33,0,0,0,0,0,0,0,1.8,0,0,0,0,1.41,0,0,0,1.3,0,1.62,0,0,0,0,0,0,1.9,0,0,0,0,0,0,1.2,0,0,2.76,2.97,0,0
"2619","hsa-miR-6874-5p","hsa-mir-6874",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2620","hsa-miR-6874-3p","hsa-mir-6874",3.32,2.04,0,0,0,0,0,0,1.33,0,0,0,0,0,0,1.85,0,0,1.5,1.53,2.77,1.41,0,1.52,3.63,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,4.88,0,1.49,0,0,0,0,0
"2621","hsa-miR-6875-5p","hsa-mir-6875",0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,2.76,0,0,0
"2622","hsa-miR-6875-3p","hsa-mir-6875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2623","hsa-miR-6876-5p","hsa-mir-6876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2624","hsa-miR-6876-3p","hsa-mir-6876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,2.99,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0
"2625","hsa-miR-6877-5p","hsa-mir-6877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2626","hsa-miR-6877-3p","hsa-mir-6877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2627","hsa-miR-6878-5p","hsa-mir-6878",0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,1.85,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"2628","hsa-miR-6878-3p","hsa-mir-6878",0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2629","hsa-miR-6879-5p","hsa-mir-6879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2630","hsa-miR-6879-3p","hsa-mir-6879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2631","hsa-miR-6880-5p","hsa-mir-6880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2632","hsa-miR-6880-3p","hsa-mir-6880",0,0,0,0,0,1.67,0,0,0,1.35,1.1,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2633","hsa-miR-6881-5p","hsa-mir-6881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
"2634","hsa-miR-6881-3p","hsa-mir-6881",0,2.04,2.29,0,1.08,1.67,1.23,0,2.65,4.06,0,0,0,0,3,0,1.8,0,0,1.53,0,1.41,0,0,0,0,4.12,0,4.39,0,1.59,0,0,0,1.9,0,1.78,0,0,0,0,0,0,1.33,1.38,0,1.93,2.26
"2635","hsa-miR-6882-5p","hsa-mir-6882",1.66,0,1.14,1.3,1.08,1.67,0,1.63,0,0,0,0,0,0,1.5,1.85,0,0,0,0,2.77,0,0,0,0,1.3,0,1.62,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,4.53
"2636","hsa-miR-6882-3p","hsa-mir-6882",0,0,1.14,1.3,0,0,0,0,1.33,0,0,0,0,4.24,3,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,1.33,0,0,0,0,0,0,1.78,0,0,0,0,0,0,1.33,0,0,0,0
"2637","hsa-miR-6883-5p","hsa-mir-6883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2638","hsa-miR-6883-3p","hsa-mir-6883",0,0,0,0,1.08,0,0,0,0,0,0,1.51,0,0,0,1.85,0,0,0,1.53,0,0,0,1.52,0,0,2.06,1.62,0,1.33,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,1.49,0,0
"2639","hsa-miR-6884-5p","hsa-mir-6884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2640","hsa-miR-6884-3p","hsa-mir-6884",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2641","hsa-miR-6885-5p","hsa-mir-6885",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0
"2642","hsa-miR-6885-3p","hsa-mir-6885",0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,1.5,0,0,0,0,1.53,2.77,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,2.76,1.49,1.93,2.26
"2643","hsa-miR-6886-5p","hsa-mir-6886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2644","hsa-miR-6886-3p","hsa-mir-6886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2645","hsa-miR-6887-5p","hsa-mir-6887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2646","hsa-miR-6887-3p","hsa-mir-6887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2647","hsa-miR-6888-5p","hsa-mir-6888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2648","hsa-miR-6888-3p","hsa-mir-6888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
"2649","hsa-miR-6889-5p","hsa-mir-6889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2650","hsa-miR-6889-3p","hsa-mir-6889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2651","hsa-miR-6890-5p","hsa-mir-6890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2652","hsa-miR-6890-3p","hsa-mir-6890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2653","hsa-miR-6891-5p","hsa-mir-6891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2654","hsa-miR-6891-3p","hsa-mir-6891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2655","hsa-miR-6892-5p","hsa-mir-6892",0,0,0,0,0,0,1.23,0,0,0,0,1.51,0,2.12,0,0,0,0,1.5,0,0,0,0,0,1.21,2.6,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,2.44,0,0,0,1.38,0,0,0
"2656","hsa-miR-6892-3p","hsa-mir-6892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2657","hsa-miR-6893-5p","hsa-mir-6893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2658","hsa-miR-6893-3p","hsa-mir-6893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2659","hsa-miR-6894-5p","hsa-mir-6894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2660","hsa-miR-6894-3p","hsa-mir-6894",0,0,0,1.3,0,0,0,0,0,1.35,1.1,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,1.3,0,0,0,1.33,0,0,5.97,4.57,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
"2661","hsa-miR-6895-5p","hsa-mir-6895",0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2662","hsa-miR-6895-3p","hsa-mir-6895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2663","hsa-miR-7-5p","hsa-mir-7-1",53.12,112.46,56.09,67.4,69.37,50.04,73.65,35.79,63.66,77.13,34.02,46.92,96.1,84.79,60.08,18.52,61.32,67.87,54.02,62.85,82.97,61.84,48.17,53.06,42.34,79.37,59.67,69.83,78.94,94.67,85.74,58.28,44.78,109.63,112.32,62.91,42.79,68.77,62.9,33.07,95.11,85.05,53.81,74.39,48.26,32.69,46.23,92.79
"2664","hsa-miR-7-1-3p","hsa-mir-7-1",21.58,22.49,19.46,20.74,16.26,16.68,17.18,19.52,14.59,32.48,20.85,12.11,20.7,25.44,21.03,1.85,25.25,9.7,28.51,18.4,19.36,23.89,16.61,24.25,10.89,28.62,8.23,4.87,24.85,16,17.47,13.6,8.96,20.56,19.04,19.95,10.7,29.7,20.07,4.72,7.32,19.17,16.44,9.3,22.06,7.43,23.11,13.58
"2665","hsa-miR-7-5p","hsa-mir-7-2",68.06,116.55,90.44,71.29,84.54,80.07,94.51,66.69,67.63,109.6,45,60.54,119.76,110.23,76.61,9.26,81.16,67.87,87.04,101.17,99.57,73.09,78.07,62.15,54.43,67.66,90.54,68.2,93.56,84.01,98.44,73.83,62.7,102.78,114.22,70.58,41.01,90.65,85.65,37.8,92.67,92.23,73.24,94.32,71.7,60.92,55.86,115.42
"2666","hsa-miR-7-2-3p","hsa-mir-7-2",6.64,8.18,10.3,10.37,11.92,3.34,6.14,8.13,6.63,10.83,9.88,3.03,7.39,6.36,7.51,0,7.21,16.16,10.5,9.2,2.77,9.84,6.64,7.58,7.26,11.71,6.17,12.99,13.16,12,7.94,9.71,8.96,4.57,3.81,4.6,5.35,6.25,8.03,3.15,14.63,9.58,10.46,2.66,6.89,8.91,1.93,9.05
"2667","hsa-miR-7-5p","hsa-mir-7-3",29.88,57.25,37.78,33.7,45.52,25.02,36.82,13.01,17.24,36.53,13.17,24.22,41.4,48.75,42.06,12.96,16.23,16.16,16.51,19.93,30.42,15.46,14.95,6.06,20.56,31.23,30.87,35.73,26.31,32,44.46,23.31,14.93,68.52,43.78,26.08,14.26,28.13,20.07,9.45,36.58,34.74,14.95,37.2,12.41,7.43,9.63,33.95
"2668","hsa-miR-708-5p","hsa-mir-708",54.78,42.94,48.08,29.81,41.19,51.71,50.33,21.15,46.42,59.54,48.29,39.35,45.83,46.64,54.08,11.11,41.48,77.57,34.51,39.86,58.08,23.89,44.85,54.57,24.19,37.73,55.56,43.84,43.86,34.67,38.11,33.03,44.78,34.26,36.17,35.29,32.09,51.58,41.49,25.2,63.41,40.73,17.94,29.23,33.09,43.09,44.3,40.74
"2669","hsa-miR-708-3p","hsa-mir-708",260.61,300.58,238.11,239.8,237.36,311.93,243.04,237.49,210.86,181.32,220.6,254.27,212.9,271.33,289.9,192.56,216.42,384.61,207.09,245.27,251.69,164.44,250.83,306.22,216.52,257.62,290.14,246.83,286.54,296.02,271.5,196.22,185.11,230.68,285.55,231.69,235.35,292.27,190.04,184.26,380.43,202.43,224.21,228.49,212.34,268.93,248.47,217.26
"2670","hsa-miR-7106-5p","hsa-mir-7106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2671","hsa-miR-7106-3p","hsa-mir-7106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2672","hsa-miR-7107-5p","hsa-mir-7107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2673","hsa-miR-7107-3p","hsa-mir-7107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2674","hsa-miR-7108-5p","hsa-mir-7108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2675","hsa-miR-7108-3p","hsa-mir-7108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2676","hsa-miR-7109-5p","hsa-mir-7109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2677","hsa-miR-7109-3p","hsa-mir-7109",0,0,1.14,1.3,1.08,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0
"2678","hsa-miR-711","hsa-mir-711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2679","hsa-miR-7110-5p","hsa-mir-7110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2680","hsa-miR-7110-3p","hsa-mir-7110",0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2681","hsa-miR-7111-5p","hsa-mir-7111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
