"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"51","hsa-miR-103a-3p","hsa-mir-103a-1",30488.34,36421.56,32586.06,27913.88,33708.34,35399.5,33702.27,27414.17,36505.29,37659.28,34932.74,26963.38,36088.02,30181.43,33119.59,20057.47,29615.35,49287.99,31367.94,29130.11,29104.19,35213.18,34884.01,35742.49,29239.33,36399.83,26699.12,35931.6,37513.41,32827.3,31219.73,31177.93,37481,29428.83,31823.72,31044.78,29322.67,35033.18,33266.68,24439.33,38374.68,35450.98,29668.46,30764.41,32452.44,29166.43,27064.35,32717.69
"52","hsa-miR-103a-1-5p","hsa-mir-103a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","hsa-miR-103a-2-5p","hsa-mir-103a-2",4.98,2.04,1.14,3.89,2.17,3.34,2.45,4.88,2.65,4.06,5.49,0,1.48,4.24,6.01,1.85,7.21,3.23,1.5,0,2.77,2.81,0,10.61,2.42,6.51,4.12,3.25,2.92,10.67,6.35,1.94,0,6.85,1.9,3.07,5.35,3.13,6.69,3.15,4.88,3.59,0,2.66,2.76,2.97,3.85,2.26
"54","hsa-miR-103a-3p","hsa-mir-103a-2",30820.33,36752.81,32907.74,28311.82,34110.44,35859.88,34074.18,27719.99,36891.21,38088.23,35327.84,27329.65,36475.38,30520.6,33481.59,20250.03,29979.66,49821.27,31707.09,29513.34,29364.18,35627.8,35264.41,36174.53,29523.58,36675.67,26985.15,36270.99,37924.22,33136.65,31538.87,31515.98,37919.88,29737.16,32130.21,31337.84,29648.95,35356.71,33617.33,24658.25,38769.75,35841.47,29943.49,31085.89,32750.27,29515.6,27362.91,33082.05
"55","hsa-miR-103b","hsa-mir-103b-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","hsa-miR-103b","hsa-mir-103b-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","hsa-miR-10400-5p","hsa-mir-10400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","hsa-miR-10400-3p","hsa-mir-10400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","hsa-miR-10401-5p","hsa-mir-10401",1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","hsa-miR-10401-3p","hsa-mir-10401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","hsa-miR-105-5p","hsa-mir-105-1",0,0,2.29,0,0,0,0,0,0,0,1.1,0,0,2.12,1.5,0,0,3.23,0,3.07,0,0,0,1.52,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,1.57,2.44,1.2,1.49,0,0,2.97,3.85,2.26
"62","hsa-miR-105-3p","hsa-mir-105-1",1.66,0,1.14,0,1.08,0,0,1.63,2.65,1.35,3.29,0,1.48,0,0,1.85,1.8,3.23,1.5,1.53,0,2.81,0,0,0,0,2.06,1.62,1.46,0,0,1.94,0,0,0,0,1.78,0,0,1.57,0,2.4,0,1.33,0,0,0,2.26
